project_id,user_id,members,mentions,message_number
17 67 ,50,11 56 23 138 59,50 0 0 50 0 0,2 2 3 4 2 1
138,51,30 42 12 47,0 0 51,5 2 4
39,53,66 33 79,0 0 0 33 66,2 2 4 57
17 61 74 162 ,56,79 50 4 11 14 73 83 153  141,0 0 0 0 0 56 0 0 0,4 3 2 6 7 8 2 3 2
1,63,14,63,1
39,66,83 53 33 138 16 143,0 0 0 0 0 0 66,6 11 1 3 3 2 19
1 7 16 61 ,69,138 6 83,0 0 83,3 3 3
50 144 ,79,53 56 50 74 83 14   16 141,79 0 79 0 0 0 0 0 79,32 10 1 4 5 2 2 1 5
50 61 ,83,66 69 56 6 79 74 3 11 14 147 138 16 9 141,83 0 0 0 0 0 0 0 0 83 0 0 0,3 2 3 3 4 2 2 3 2 1 4 2 1
156,138,66 69 83 56 33 50 9,0 0 0 0 138 0 138,7 3 3 1 2 2 2
33 50 70 ,141,56 6 50 154 145 11 83 85 14 16 146 143 ,0 0 0 0 0 0 0 0 0 0,1 2 2 1 6 2 2 3 1 1
2,143,66 6 154 11 85 83 14 141,0 0,8 2
78,145,146 90,145 0,6 6
78,146,145,0,3
37,147,3 23 83,147 0 0,4 2 2
72,152,4 141 56,0 56 56 141,2 6 1
39 50 118 ,4,10 9 6 85,0 0 0 0,5 3 2 3
39,5,23 26 51 59 47,0 0 0 0 23 26,14 4 1 2 39
50 72 74 123 ,6,69 53 26 154 3 4 83 11 85 14 5 16 59 143 141,0 0 0 0 0 0 0 0,2 6 2 2 2 1 1 3
39 74 159 ,9,66 11 4 138 16,0 0 0 0 0,9 6 4 4 5
2 40 67 ,11,147 138 50 9 141,0 138 11 0,5 3 4 3
144 159 ,14,92 79 16,0 0 0,15 3 5
39,23,5 50 26,0 23 0 23 5 26,8 32 1 56
67,30,147 51 59,0 0 0,2 1 7
16 17 39 50 ,33,66 138 53,0 0 66,8 1 3
67 76 ,50,11 56 147 23 30 47 141,0 0 0 0 0 50 0,1 1 2 4 2 1 3
138,51,12 47 42,51,2
16 39 78 ,53,66 6 26 3 80 14 5 33 85 16 9,0 0 0 0 0 0 0,11 2 1 16 3 2 3
2,56,50 144 59,0 0 0,4 2 2
39,66,53 33 143 9,0 0 66 0,1 1 4 1
50 144 ,74,147 79,0 0,2 4
50 144 ,79,83 74 14 141,0 0 0 0,5 6 6 11
159,92,85 14,0 0,6 1
2 16 156 ,138,11 83 33 17 9,0 0 0 0 0,6 4 2 2 1
70 72 ,141,6 79 50 154 145 11 83 85 14 146 143 141,0 0 0 0 0 141 0 0,7 4 1 9 9 2 2 1
2,143,66 154 141,0 0,1 2
78,145,146 141,145 145 146,3 6
78,146,145 141,146 146,1 2
67,147,3 30 74,0 0 0,1 16 2
2 16 67 78 ,3,4 5 83 56 147 16 90 65,0 0 3 0 0 3 0 0,2 2 18 8 6 10 16 1
31,4,66 56 62 74 3 11 14 138 59 9 141,0 0 0 0 0 0 0 0 0 0,2 1 3 1 2 5 3 1 1 1
1 16 17 50 71 72 ,6,85 63,0 0,2 1
39 50 ,9,4 138 62,0 0 0,1 2 3
67,11,4 147 138 50 59,0 11 0 0 0,5 12 2 1 1
72 144 159 ,14,138 85 79 16,0 0 14 0,2 2 1 10
41,16,3 14 56 79 16 9 74 141,16 0 0 0 0 0 0 0,9 1 3 1 6 4 6 5
2 72 ,17,3 69 56 6 10  62,0 0 0 0,1 6 1 4
39,23,147 26,0 23,35 10
67,30,147 65,0 0,1 13
39,33,66 53,0 0,27 1
4 67 ,50,11 62 147 138 51 59 141,50 0 0 0 50 0 0 0,7 7 3 5 7 2 1 1
39 142 ,53,10 66 33,0 0 33,4 3 8
74,56,3 4 16 144 17 59,0 0 0 56 0 0,8 3 5 2 1 3
67,59,11 4 56 73 50 51 62,0 0 0 0 0 0 0,2 5 14 3 9 2 2
1,63,6 85,0 0,1 1
2,65,3,0,6
39,66,53 33,0 0,23 1
72 78 ,74,6 4 16,0 0 0,5 1 4
50 71 72 73 144 ,79,92 85 14 16,0 0 0 0,2 13 1 16
50 61 72 ,83,3 69 141 56 62,0 0 0 0 141,8 1 5 9 11
159,92,85 79 141,0 0 0,9 6 8
4 50 72 ,141,4 83 141 138 16 50 92 62,0 0 0 141 0 0 0 141,1 11 4 7 6 11 1 8
78,145,146 74,145 0,5 1
78,146,145,146,1
67,147,3 11 23 30 50,0 0 0 0 0,1 15 20 14 4
33 72 83 ,3,53 56 6 79 10 65 26 74 4 11 14 5 85 16 17 143 9 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20 7 2 4 3 2 2 2 4 10 2 2 1 4 4 1
2 33 72 74 ,4,3 32 56 50 9 74 141,0 0 0 0 0 0 0,7 7 1 1 1 2 1
33 74 ,6,3 4 5 53 85 16 26 9,0 0 0,2 5 2
39 74 75 ,9,66 53 6 3 11 4 33 138 59,0 9 9 0 0 9 0 0 0,1 10 16 2 8 4 1 26 5
67 73 ,11,3 147 138 79 50 9,0 0 11 0 138 0,2 8 3 2 4 1
33 50 144 ,14,3 4 138 79 74,0 0 0 14 0,2 1 2 7 1
41,16,53 6 79 26 3 83 5 85 138,0 0 0 0 0,3 1 12 2 2
2,17,66 3 83 56 138 10 65,0 0 0 0 0 0,3 2 4 5 5 6
16 39 ,33,9 66 53,0 0 33,2 25 9
33 67 156 ,50,11 23 138 79 62,0 0 50 138 11,2 2 1 11
39 44 ,53,66 6 10 26 74 3 4 85 5 33 16 9,0 0 0 0 0 0 0 3 26 16 5 6 0 0 0,1 11 2 36 1 7 18 3 15 1 1
72,56,3 4 147 17 59  ,0 0 0 0 0 0 56,4 1 1 6 3 4 5
37,59,9 73 32 56,0 0 0,7 12 2
83 138 ,62,50 90 138 ,0 0 0 0,2 2 5 4
2,65,3,0,2
39,66,53 33 138 17,0 0 0 0 0,6 4 2 3 8
1,74,3 4 14 53 79,0 0 0 0 74,1 4 1 5 8
1 50 144 ,79,3 11 14 147 138 92 74 141,0 79 0 0 0 0 0 0,1 3 5 8 19 13 3 4
156,138,66 79 50 11 83 14 16 17 9 62,0 0 0 0 0 138 0 0 138 0,17 2 2 4 6 4 10 1 15 2
33 70 ,141,4 79,0 0,1 2
78,145,146,145,4
78,146,145,146,12
37,147,11 56 23 79 50,147 0 0 0,6 9 5 4
33,4,1,0,8
39,9,138 62,0 0,2 15
67,11,50 138 79,0 0,4 3
39,66,53 33,33,30
156,138,9 11 50,0 138,13 5
7 33 73 74 ,4,33,0,4
33 78 ,6,53,0,1
2 7 70 78 ,3,11 4 14 53 83 79 10,0 3 0 0 0 0 0,9 12 4 5 5 8 7
37,5,47 23,0 0,4 4
17 33 74 78 ,6,69 53 62 23 63 92 145 4 83 85   146 141,0 0 0 0 0 0 0 0 0 6,1 1 6 6 1 1 3 1 1 3
39 72 74 ,9,11 4 14 69 81 147 138 50,0 0 0 0 0 0 9,3 11 1 1 6 5 3
2,10,3 85 138 17 62,0 0 0 0 0,7 26 1 5 1
17 72 74 ,11,9 3 83,0 0 11,3 8 1
138,12,42,0,1
7 144 159 ,14,10 9 3 79,0 0 14 0,4 2 2 7
41 144 ,16,154 53,16 0,6 1
2 16 ,17,10 66 83 138,0 0,25 2
67,30,50,0,13
37,32,1  4 73,4 0 0,14 1 5
39,33,66 4 53 154,0 0 0 0 0,1 3 4 2 2
