timestamp,user_id,members,mentions,number_message
26/06/2017,27,32 62,0,9
26/06/2017,30,51,0,5
26/06/2017,33,53,0,1
26/06/2017,47,5,47,14
26/06/2017,50,58,0,5
26/06/2017,50,69,0,2
26/06/2017,50,141,0,4
26/06/2017,50,4 138,0,1
26/06/2017,51,26,0,2
26/06/2017,51,27,0,2
26/06/2017,51,30,0,3
26/06/2017,51,62,0,8
26/06/2017,52,4,0,1
26/06/2017,53,14,0,10
26/06/2017,53,16,0,6
26/06/2017,53,33,0,3
26/06/2017,53,80,0,18
26/06/2017,53,85,0,5
26/06/2017,56,16,0,1
26/06/2017,56,26,0,3
26/06/2017,56,141,0,3
26/06/2017,56,83 141,0,1
26/06/2017,58,50,0,3
26/06/2017,62,51,62,16
26/06/2017,62,59,0,2
26/06/2017,62,74,0,2
26/06/2017,62,82,0,2
26/06/2017,62,83,0,2
26/06/2017,62,27 32,27,8
26/06/2017,62,4 9 6 53 17 26 83 141,0,1
26/06/2017,63,59,0,1
26/06/2017,69,50,0,2
26/06/2017,69,143,69,18
26/06/2017,74,6,0,1
26/06/2017,74,16,0,4
26/06/2017,74,83,0,2
26/06/2017,74,145 146,0,1
26/06/2017,79,83,0,1
26/06/2017,80,4,0,2
26/06/2017,80,53,0,12
26/06/2017,81,4,0,1
26/06/2017,83,4,0,1
26/06/2017,83,17,0,1
26/06/2017,83,62,0,1
26/06/2017,83,69,0,2
26/06/2017,83,79,0,2
26/06/2017,83,141,0,19
26/06/2017,83,4 9 6 53 17 62 26 141,0,1
26/06/2017,83,69 6,0,1
26/06/2017,85,53,0,4
26/06/2017,85,90,0,2
26/06/2017,138,16,0,3
26/06/2017,138,4 50,0,1
26/06/2017,141,6,0,4
26/06/2017,141,50,141,6
26/06/2017,141,56,0,1
26/06/2017,141,83,141,37
26/06/2017,143,10,0,7
26/06/2017,143,69,0,14
26/06/2017,145,146,145,4
26/06/2017,146,145,146,1
26/06/2017,146,74 145,146,1
27/06/2017,3,4,0,4
27/06/2017,3,5,0,6
27/06/2017,3,16,0,3
27/06/2017,4,3,0,1
27/06/2017,4,5,0,2
27/06/2017,4,6,0,2
27/06/2017,4,50,0,1
27/06/2017,4,81,0,1
27/06/2017,4,138,0,2
27/06/2017,4,50 138,138,2
27/06/2017,4,6 83,0,1
27/06/2017,5,3,5,14
27/06/2017,5,4,0,5
27/06/2017,5,10,5,10
27/06/2017,5,23,0,11
27/06/2017,5,27,0,2
27/06/2017,5,47,0,30
27/06/2017,5,50,0,3
27/06/2017,5,74,0,3
27/06/2017,5,23 26,23,13
27/06/2017,6,11,0,2
27/06/2017,6,17,0,5
27/06/2017,6,52,0,2
27/06/2017,6,62,0,3
27/06/2017,6,66,0,1
27/06/2017,6,83,0,4
27/06/2017,6,138,0,1
27/06/2017,10,5,0,10
27/06/2017,10,17,0,5
27/06/2017,10,27,0,3
27/06/2017,10,138,0,5
27/06/2017,10,143,0,1
27/06/2017,11,6,6,2
27/06/2017,11,11,0,1
27/06/2017,11,14,0,3
27/06/2017,11,50,0,3
27/06/2017,11,56,0,1
27/06/2017,11,81,0,2
27/06/2017,11,83,83,2
27/06/2017,12,47,0,1
27/06/2017,12,51 42 47,47,2
27/06/2017,14,11,0,3
27/06/2017,14,16,14,11
27/06/2017,14,83,0,2
27/06/2017,14,141,0,1
27/06/2017,16,3,16,4
27/06/2017,16,14,0,12
27/06/2017,16,83,0,2
27/06/2017,16,141,0,1
27/06/2017,17,6,0,5
27/06/2017,17,10,0,4
27/06/2017,17,83,0,2
27/06/2017,23,5,0,5
27/06/2017,23,26,23,48
27/06/2017,23,5 26,5 26,77
27/06/2017,26,23,26,71
27/06/2017,26,51,0,4
27/06/2017,26,23 5,23 5 26,94
27/06/2017,27,5,0,1
27/06/2017,27,10,0,2
27/06/2017,27,63,0,7
27/06/2017,33,53,0,5
27/06/2017,42,12 51 47,0,2
27/06/2017,47,5,0,19
27/06/2017,47,12,0,1
27/06/2017,47,12 51 42,51,7
27/06/2017,50,4,0,1
27/06/2017,50,5,0,1
27/06/2017,50,9,0,2
27/06/2017,50,11,0,2
27/06/2017,50,58,0,4
27/06/2017,50,62,50,6
27/06/2017,50,4 138,0,1
27/06/2017,51,26,0,4
27/06/2017,51,62,51,15
27/06/2017,51,12 42 47,51,6
27/06/2017,52,6,0,1
27/06/2017,53,33,0,8
27/06/2017,53,80,0,5
27/06/2017,56,138,0,4
27/06/2017,58,50,0,3
27/06/2017,62,6,0,8
27/06/2017,62,50,0,12
27/06/2017,62,51,0,17
27/06/2017,62,65,0,2
27/06/2017,62,74,0,9
27/06/2017,62,82,0,5
27/06/2017,62,83,62,12
27/06/2017,63,6,0,2
27/06/2017,63,27,0,3
27/06/2017,65,62,0,1
27/06/2017,65,82,0,1
27/06/2017,69,83,0,5
27/06/2017,74,5,0,5
27/06/2017,74,16,0,2
27/06/2017,74,62,74,13
27/06/2017,74,141,0,4
27/06/2017,74,145 146,74,5
27/06/2017,80,53,0,2
27/06/2017,81,4,0,2
27/06/2017,81,11,0,1
27/06/2017,82,62,0,3
27/06/2017,82,65,0,1
27/06/2017,83,6,0,5
27/06/2017,83,11,0,1
27/06/2017,83,14,0,2
27/06/2017,83,16,0,1
27/06/2017,83,17,0,1
27/06/2017,83,62,0,18
27/06/2017,83,69,0,7
27/06/2017,83,141,0,4
27/06/2017,83,4 6,0,1
27/06/2017,83,6 141,0,2
27/06/2017,138,4,0,2
27/06/2017,138,6,0,1
27/06/2017,138,10,0,7
27/06/2017,138,56,0,7
27/06/2017,138,141,0,1
27/06/2017,138,4 50,0,1
27/06/2017,141,6,0,10
27/06/2017,141,14,0,3
27/06/2017,141,16,141,2
27/06/2017,141,74,0,3
27/06/2017,141,83,0,6
27/06/2017,141,138,0,1
27/06/2017,141,6 83,0,7
27/06/2017,143,10,0,2
27/06/2017,146,145,0,5
27/06/2017,146,6 145,6,1
27/06/2017,146,74 145,0,2
28/06/2017,3,4,0,4
28/06/2017,3,10,0,8
28/06/2017,3,16,0,1
28/06/2017,3,74,0,9
28/06/2017,3,79,0,5
28/06/2017,4,3,0,1
28/06/2017,4,6,0,10
28/06/2017,4,9,0,1
28/06/2017,4,23,0,5
28/06/2017,4,50,0,3
28/06/2017,4,53,0,1
28/06/2017,4,56,0,2
28/06/2017,4,6 16 83,0,1
28/06/2017,5,23,0,18
28/06/2017,5,27,0,2
28/06/2017,5,50,0,2
