timestamp,user_id,members,mentions,message_number
29/06/2017,4,56 6 23 50 74 3 81 16 59 9 152,0 4 0 0 0 0 0 0 0 0 0,1 4 3 2 1 4 1 1 1 1 1
29/06/2017,XXXXX,47 23,0 5,63 12
29/06/2017,6,66 4 83 6 90 63 9,0 0 0 0 0 0,1 6 1 1 2 1
29/06/2017,9,3 4 83 6,0 0 0 0,10 5 1 1
29/06/2017,XXXXX,3 17 85,0 0 0,5 25 7
29/06/2017,14,143 9 16,0 0 0,1 1 2
29/06/2017,16,3 4 69 14 53 26 141,0 0 0 0 0 0 0,10 2 2 1 12 2 4
29/06/2017,17,10 83 53 62,17 0 0 0,21 5 2 3
29/06/2017,23,3 4 5 50 26,23 0 23 0 0,2 1 71 33 4
29/06/2017,XXXXX,23 51,26 0,66 6
29/06/2017,33,3,0,1
29/06/2017,XXXXX,12 51 5 42,0 47,8 2
29/06/2017,50,3 4 62 23 9 141,0 0 0 0 0,5 4 2 1 3
29/06/2017,51,26 62,51 0,3 11
29/06/2017,53,143 17 16,0 0 0,17 4 3
29/06/2017,56,3 4 59,0 56 0,5 9 9
29/06/2017,59,4 56,0 59 0,2 18 6
29/06/2017,XXXXX,83 50 65 17 51 82,0 0 0 0 0 0,1 2 12 3 3 2
29/06/2017,63,6,0,2
29/06/2017,65,62,65,3
29/06/2017,XXXXX,143 6,0 0,1 13
29/06/2017,XXXXX,138 16,0 0,1 2
29/06/2017,74,145 4 83 146 141,0 0 0 0,1 5 4 2
29/06/2017,XXXXX,4,0,1
29/06/2017,XXXXX,62,82,4
29/06/2017,XXXXX,9 17 74 62,0 0 83 83,1 2 2 6
29/06/2017,85,10,0,16
29/06/2017,XXXXX,145 146 6,0 0,1 2
29/06/2017,XXXXX,69,0,2
29/06/2017,141,83 50 74 16,0 0 0 0,5 1 2 1
29/06/2017,143,53 154 14 66,0 0 143 0,5 2 15 1
29/06/2017,145,146 90 74,145 0 0,7 2 2
29/06/2017,146,145 74,0 0,1 1
29/06/2017,XXXXX,153 4,0 0,2 1
29/06/2017,XXXXX,152,0,1
30/06/2017,3,85 83 53 50 9,0 0 3 0,3 19 1 2
30/06/2017,4,56 6 50 59 9,0 0,5 1
30/06/2017,XXXXX,65 47 23 53,5 0 0 0,25 3 2 3
30/06/2017,9,3 4 83 14 56 6 50,0 0 0 0 0,1 2 1 1 3
30/06/2017,XXXXX,27 3 81 138 17,0 0 0 0 0,1 1 1 1 6
30/06/2017,14,83 53 79 50 90 74,0 0 0 14 0 0,1 2 2 4 1 1
30/06/2017,16,138 16,0 16,1 3
30/06/2017,17,10,0,3
30/06/2017,XXXXX,50 26 5,23 0 0,26 19 1
30/06/2017,XXXXX,23 5 51,26 26,11 11
30/06/2017,XXXXX,10 73,0 0,1 1
30/06/2017,33,154 81 83 53,0 0 0 0,5 1 6 8
30/06/2017,XXXXX,5 51 42 12,47 47 0,3 2 1
30/06/2017,50,3 58 4 56 23 6 9,0 0 0 0 0,1 3 4 1 2
30/06/2017,51,26 42 12 47,51 51 51,6 2 1
30/06/2017,53,3 5 14 33 74,0 0 0 0 0,4 4 1 7 5
30/06/2017,XXXXX,50 42 59,0 0 0,6 3 2
30/06/2017,59,4 62,0 0,13 3
30/06/2017,63,6 69,0 0,1 6
30/06/2017,65,5,0,2
30/06/2017,XXXXX,83 63,69 0,8 2
30/06/2017,74,145 85 53 14 56 79 16 146,0 0 74 0 0 0 0,2 4 6 3 13 13 1
30/06/2017,79,74 14 141,0 0 0,1 17 4
30/06/2017,XXXXX,10 33,0 0,2 3
30/06/2017,83,69 6 3 33 138 17 9 141,0 0 0 0 0 0 0 0 0,15 2 4 2 2 3 4 23 1
30/06/2017,85,3 74,0 85,6 8
30/06/2017,90,145 146 6,0 90,1 5
30/06/2017,XXXXX,10 83 16,0 0 0,13 3 3
30/06/2017,141,83 79,0 0,3 31
30/06/2017,143,66 154,0 0,1 3
30/06/2017,145,146 90,145 0,5 3
30/06/2017,146,145 90,0,1
30/06/2017,XXXXX,143 33,0 154,7 6
01/07/2017,XXXXX,4,0,33
01/07/2017,XXXXX,3 6,4 0,21 13
01/07/2017,6,3 4 83 90 63 141,0 0 0 0 0 0,1 9 1 3 2 1
